subject,predicate,object
Yogurt_Greek_plain_whole_milk,predictedFor,Colonic_Neoplasms
Peanut_butter_creamy,recommendedFor,Hepatolenticular_Degeneration
Sausage_breakfast_sausage_beef_precooked_unprepared,contraindicatedFor,Stroke
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,predictedFor,Tachycardia
Flour_sorghum,highIn,Magnesium
Beans_snap_green_canned_regular_pack_drained_solids,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Mango_Ataulfo_peeled_raw,contraindicatedFor,Metabolic_Syndrome
Sorghum_whole_grain_white_dry_raw,contraindicatedFor,Malabsorption_Syndromes
Flour_whole_wheat_unenriched,contraindicatedFor,Cardiovascular_Diseases
Nuts_brazilnuts_raw,recommendedFor,Infant_Death
Beans_navy_canned_sodium_added_drained_and_rinsed,recommendedFor,Acute_Kidney_Injury
Oat_milk_unsweetened_plain_refrigerated,recommendedFor,Pain
Beans_great_northern_canned_sodium_added_drained_and_rinsed,contraindicatedFor,Hypertension__Portal
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Brain_Injuries
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Bradycardia
Cheese_provolone_sliced,highIn,Calcium
Cheese_parmesan_grated_refrigerated,highIn,Saturated_Fat
Lentils_dry,recommendedFor,Teratozoospermia
Cheese_monterey_jack_solid,highIn,Protein
Restaurant_Chinese_sweet_and_sour_pork,contraindicatedFor,Hypertension__Portal
Beeftenderloin_steak_raw,contraindicatedFor,Gout
Cheese_parmesan_grated_refrigerated,contraindicatedFor,Obesity
Cookies_oatmeal_soft_with_raisins,contraindicatedFor,Proteinuria
Nuts_walnuts_English_halves_raw,contraindicatedFor,Hypokalemic_Periodic_Paralysis
Cheese_cheddar,contraindicatedFor,Anemia__Hypochromic
Oats_whole_grain_rolled_old_fashioned,recommendedFor,Intestinal_Diseases
Ham_sliced_prepackaged_deli_meat_96fat_free_water_added,contraindicatedFor,Nephrotic_Syndrome
Cheese_monterey_jack_solid,predictedFor,Pulmonary_Fibrosis
Cream_sour_full_fat,recommendedFor,Urinary_Bladder_Diseases
Rice_red_unenriched_dry_raw,recommendedFor,Ventricular_Fibrillation
Restaurant_Chinese_fried_rice_without_meat,contraindicatedFor,Renal_Insufficiency
Ketchup_restaurant,contraindicatedFor,Pre_Eclampsia
Nuts_hazelnuts_or_filberts_raw,highIn,Carbohydrate
Butter_stick_salted,predictedFor,Cardiomyopathies
Beans_Dry_Carioca_0_moisture,recommendedFor,Tachycardia__Supraventricular
Egg_yolk_dried,recommendedFor,Fever
Milk_reduced_fat_fluid_2_milkfat_with_added_vitamin_A_and_vitamin_D,predictedFor,Prenatal_Exposure_Delayed_Effects
Beef_ground_80_lean_meat__20_fat_raw,contraindicatedFor,Immune_System_Diseases
Figs_dried_uncooked,contraindicatedFor,Colitis
Grapes_green_seedless_raw,contraindicatedFor,Insulin_Resistance
Cheese_queso_fresco_solid,contraindicatedFor,Non_alcoholic_Fatty_Liver_Disease
Collards_raw,highIn,Vitamin_C
Sauce_pasta_spaghettimarinara_readytoserve,contraindicatedFor,Pre_Eclampsia
Nuts_pecans_halves_raw,recommendedFor,Multiple_Myeloma
Beans_Dry_Carioca_0_moisture,highIn,Potassium
Chickpeas_garbanzo_beans_bengal_gram_dry,recommendedFor,Hepatomegaly
Almond_butter_creamy,recommendedFor,Cholestasis
Chickpeas_garbanzo_beans_bengal_gram_dry,recommendedFor,Polyradiculopathy
Soy_milk_unsweetened_plain_shelf_stable,recommendedFor,Arrhythmias__Cardiac
Egg_whole_raw_frozen_pasteurized,22-rdf-syntax-ns#type,Food
Beef_short_loin_tbone_steak_bonein_separable_lean_only_trimmed_to_18_fat_choice_cooked_grilled,contraindicatedFor,Hemochromatosis
Beans_Dry_Small_Red_0_moisture,recommendedFor,Tachycardia__Ventricular
Cheese_monterey_jack_solid,contraindicatedFor,Insulin_Resistance
Plantains_ripe_raw,highIn,Sugar
Flour_potato,predictedFor,Heart_Defects__Congenital
Soy_milk_sweetened_plain_refrigerated,predictedFor,Heart_Failure
Nuts_almonds_dry_roasted_with_salt_added,recommendedFor,Dysgeusia
Cheese_oaxaca_solid,highIn,Saturated_Fat
Egg_white_raw_frozen_pasteurized,recommendedFor,Kidney_Diseases__Cystic
Bread_white_commercially_prepared,recommendedFor,Nerve_Compression_Syndromes
Cream_sour_full_fat,22-rdf-syntax-ns#type,Food
Beef_ground_80_lean_meat__20_fat_raw,recommendedFor,Brain_Injuries
Oats_whole_grain_steel_cut,recommendedFor,Diabetic_Cardiomyopathies
Mango_Tommy_Atkins_peeled_raw,contraindicatedFor,Metabolic_Syndrome
Magnesium,treats,Hypomagnesemia_primary
Apples_red_delicious_with_skin_raw,22-rdf-syntax-ns#type,Food
Sausage_Italian_pork_mild_cooked_panfried,contraindicatedFor,Stroke
Wild_rice_dry_raw,contraindicatedFor,Immune_System_Diseases
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,recommendedFor,Stomach_Ulcer
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Colitis
Beets_raw,recommendedFor,Arrhythmias__Cardiac
Nuts_hazelnuts_or_filberts_raw,recommendedFor,Long_QT_Syndrome
Beef_chuck_roast_boneless_choice_raw,recommendedFor,Liver_Diseases
Almond_butter_creamy,recommendedFor,Rhabdomyolysis
Beans_Dry_Red_0_moisture,recommendedFor,Pain
Plantains_underripe_raw,recommendedFor,Water_Electrolyte_Imbalance
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Coronary_Vasospasm
Flour_cassava,contraindicatedFor,Hyperparathyroidism__Secondary
Egg_white_dried,contraindicatedFor,Osteoporosis__Postmenopausal
Flaxseed_ground,recommendedFor,Torsades_de_Pointes
Bulgur_dry_raw,contraindicatedFor,Crohn_Disease
Nuts_hazelnuts_or_filberts_raw,recommendedFor,Neoplasms
Beans_Dry_Brown_0_moisture,recommendedFor,Neural_Tube_Defects
Peanut_butter_creamy,recommendedFor,Acrodermatitis
Mushroom_beech,contraindicatedFor,Kidney_Diseases__Cystic
Cottage_cheese_full_fat_large_or_small_curd,recommendedFor,Pulpitis
Beeftenderloin_steak_raw,recommendedFor,Multiple_Myeloma
Cod_Pacific_or_Alaskan_frozen_wild_caught,contraindicatedFor,Renal_Insufficiency
Beef_flank_steak_boneless_choice_raw,contraindicatedFor,Kidney_Failure__Chronic
Egg_whole_raw_frozen_pasteurized,recommendedFor,Prenatal_Exposure_Delayed_Effects
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Water_Electrolyte_Imbalance
Beans_Dry_Dark_Red_Kidney_0_moisture,contraindicatedFor,Nephrocalcinosis
Almond_butter_creamy,contraindicatedFor,Crohn_Disease
Hummus_commercial,contraindicatedFor,Renal_Insufficiency
Brussels_sprouts_raw,recommendedFor,Muscle_Weakness
Cream_cheese_full_fat_block,contraindicatedFor,Renal_Insufficiency__Chronic
Plantains_underripe_raw,contraindicatedFor,Kidney_Failure__Chronic
Flour_buckwheat,recommendedFor,Substance_Withdrawal_Syndrome
Oil_olive_extra_virgin,contraindicatedFor,Obesity
Nuts_almonds_whole_raw,recommendedFor,Autistic_Disorder
Chia_seeds_dry_raw,contraindicatedFor,Kidney_Diseases
Cheese_parmesan_grated,recommendedFor,Carcinoma__Squamous_Cell
Cheese_swiss,contraindicatedFor,Nephrolithiasis
Cheese_provolone_sliced,recommendedFor,Fever
Arugula_baby_raw,contraindicatedFor,Hyperparathyroidism__Secondary
Wild_rice_dry_raw,recommendedFor,Multiple_Myeloma
Beans_Dry_Tan_0_moisture,contraindicatedFor,Nephrotic_Syndrome
Mustard_prepared_yellow,contraindicatedFor,Hypertension
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,recommendedFor,Diabetic_Cardiomyopathies
Nuts_walnuts_English_halves_raw,recommendedFor,Diabetes_Mellitus__Type_2
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Disease_Progression
Almond_milk_unsweetened_plain_refrigerated,recommendedFor,Mental_Disorders
Mushroom_pioppini,recommendedFor,Diabetes_Mellitus
Beans_Dry_Light_Tan_0_moisture,contraindicatedFor,Nephrolithiasis
Flour_coconut,recommendedFor,Tachycardia__Ventricular
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Neural_Tube_Defects
Einkorn_grain_dry_raw,recommendedFor,Cholestasis
Sugars_granulated,22-rdf-syntax-ns#type,Food
Beans_Dry_Small_White_0_moisture,highIn,Iron
Nuts_cashew_nuts_raw,recommendedFor,Intestinal_Diseases
Restaurant_Latino_tamale_pork,recommendedFor,Movement_Disorders
Beans_cannellini_dry,recommendedFor,Urinary_Bladder_Diseases
Beans_Dry_Light_Red_Kidney_0_moisture,contraindicatedFor,Non_alcoholic_Fatty_Liver_Disease
Almond_milk_unsweetened_plain_shelf_stable,predictedFor,Prenatal_Exposure_Delayed_Effects
Oil_olive_extra_light,contraindicatedFor,Insulin_Resistance
Colorectal_Neoplasms,22-rdf-syntax-ns#type,Disease
Flour_soy_fullfat,highIn,Fat
Nuts_hazelnuts_or_filberts_raw,contraindicatedFor,Kidney_Calculi
Beans_Dry_Small_Red_0_moisture,recommendedFor,Hyperglycemia
Beans_Dry_Cranberry_0_moisture,recommendedFor,Colitis
Flour_potato,recommendedFor,Parasomnias
Chia_seeds_dry_raw,recommendedFor,Tachycardia
Milk_whole_325_milkfat_with_added_vitamin_D,predictedFor,Inflammation
Oat_milk_unsweetened_plain_refrigerated,recommendedFor,Arthralgia
Anchovies_canned_in_olive_oil_with_salt_drained,contraindicatedFor,Stroke
Seeds_sunflower_seed_kernel_raw,contraindicatedFor,Hypercalcemia
Beef_flank_steak_boneless_choice_raw,recommendedFor,Cardiotoxicity
Flour_coconut,contraindicatedFor,Colitis
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,contraindicatedFor,Immune_System_Diseases
Flour_sorghum,contraindicatedFor,Non_alcoholic_Fatty_Liver_Disease
Scallops_sea_frozen_wild_caught,contraindicatedFor,Hypertension__Renal
Beans_Dry_Dark_Red_Kidney_0_moisture,recommendedFor,Osteoporosis__Postmenopausal
Flour_semolina_coarse_and_semicoarse,highIn,Carbohydrate
Flour_soy_fullfat,recommendedFor,Hypokalemia
Scallops_sea_frozen_wild_caught,contraindicatedFor,Osteoporosis
Arugula_baby_raw,recommendedFor,Tremor
Flour_chestnut,recommendedFor,Hypokalemia
Sorghum_grain_white_pearled_unenriched_dry_raw,recommendedFor,Torsades_de_Pointes
Cheese_dry_white_queso_seco,contraindicatedFor,Osteoporosis__Postmenopausal
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Seizures
Corn_flour_masa_harina_white_or_yellow_dry_raw,predictedFor,Muscular_Diseases
Corn_flour_masa_harina_white_or_yellow_dry_raw,contraindicatedFor,Gastrointestinal_Diseases
Flour_soy_fullfat,highIn,Calcium
Beans_kidney_light_red_canned_sodium_added_sugar_added_drained_and_rinsed,recommendedFor,Arrhythmias__Cardiac
Beef_round_top_round_boneless_choice_raw,recommendedFor,Esophageal_Neoplasms
Cheese_monterey_jack_solid,recommendedFor,Necrosis
Flour_chestnut,highIn,Potassium
Cheese_cheddar,contraindicatedFor,Edema
Cheese_provolone_sliced,highInPredicted,Cholesterol
Beet_greens_raw,contraindicatedFor,Nephrocalcinosis
Buttermilk_low_fat,22-rdf-syntax-ns#type,Food
Cheese_oaxaca_solid,recommendedFor,Hyperplasia
Einkorn_grain_dry_raw,recommendedFor,Rhabdomyolysis
Chia_seeds_dry_raw,recommendedFor,Anemia__Iron_Deficiency
Nuts_walnuts_English_halves_raw,recommendedFor,Fever
Flour_amaranth,highIn,Calcium
Pork_cured_bacon_cooked_restaurant,recommendedFor,Gastrointestinal_Diseases
Beans_Dry_Dark_Red_Kidney_0_moisture,contraindicatedFor,Renal_Insufficiency
Milk_reduced_fat_fluid_2_milkfat_with_added_vitamin_A_and_vitamin_D,predictedFor,Colonic_Neoplasms
Sesame_butter_creamy,highIn,Iron
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Cardiotoxicity
Pork_cured_bacon_cooked_restaurant,contraindicatedFor,Pancreatitis
Milk_lowfat_fluid_1_milkfat_with_added_vitamin_A_and_vitamin_D,contraindicatedFor,Myocardial_Infarction
Long_QT_Syndrome,22-rdf-syntax-ns#type,Disease
Beef_round_eye_of_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,contraindicatedFor,Gout
Cheese_pasteurized_process_American_vitamin_D_fortified,predictedFor,Fever
Beets_raw,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Khorasan_grain_dry_raw,recommendedFor,Esophageal_Neoplasms
Vitamin_D,treats,Alzheimer_Disease
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,recommendedFor,Brain_Injuries
Egg_whole_raw_frozen_pasteurized,contraindicatedFor,Proteinuria
Beans_Dry_Black_0_moisture,recommendedFor,Melanoma
Anchovies_canned_in_olive_oil_with_salt_drained,22-rdf-syntax-ns#type,Food
Peppers_poblano_seeded_raw,highIn,Vitamin_B6
Flour_whole_wheat_unenriched,recommendedFor,Insulin_Resistance
Beans_Dry_Tan_0_moisture,recommendedFor,COVID_19
Beans_Dry_Cranberry_0_moisture,recommendedFor,Disease_Progression
Blueberries_raw,contraindicatedFor,Hyperglycemia
Beef_chuck_roast_boneless_choice_raw,recommendedFor,Peripheral_Nervous_System_Diseases
Cheese_cheddar,contraindicatedFor,Kidney_Calculi
Snow_crab_legs_only_frozen__,recommendedFor,Hypoparathyroidism
Butter_stick_salted,contraindicatedFor,Diabetes_Mellitus__Type_2
Salt_table_iodized,predictedFor,Pulpitis
Tomatoes_whole_canned_solids_and_liquids_with_salt_added,recommendedFor,Hypotension
Farro_pearled_dry_raw,22-rdf-syntax-ns#type,Food
Egg_yolk_raw_frozen_pasteurized,recommendedFor,Neurologic_Manifestations
Vitamin_D,treats,Lung_Injury
Yogurt_plain_nonfat,recommendedFor,Movement_Disorders
Juice_tart_cherry_from_concentrate_shelfstable,contraindicatedFor,Obesity
Beans_Dry_Pinto_0_moisture,recommendedFor,Colitis
Rice_red_unenriched_dry_raw,recommendedFor,Vasospasm__Intracranial
Cheese_cotija_solid,contraindicatedFor,Metabolic_Syndrome
Beans_Dry_Light_Tan_0_moisture,recommendedFor,Teratozoospermia
Lamb_ground_raw,recommendedFor,Diabetic_Cardiomyopathies
Wild_rice_dry_raw,contraindicatedFor,Kidney_Failure__Chronic
Cheese_pasteurized_process_American_vitamin_D_fortified,predictedFor,Polycystic_Ovary_Syndrome
Fish_salmon_Atlantic_farm_raised_raw,highIn,Fat
Beans_navy_canned_sodium_added_drained_and_rinsed,recommendedFor,Hypotension
Egg_white_dried,contraindicatedFor,Heart_Failure
Flour_coconut,recommendedFor,Hyperglycemia
Oats_whole_grain_rolled_old_fashioned,recommendedFor,Hypomagnesemia_primary
Beans_Dry_Cranberry_0_moisture,recommendedFor,Seizures
Nuts_almonds_dry_roasted_with_salt_added,recommendedFor,Esophageal_Squamous_Cell_Carcinoma
Cheese_cotija_solid,contraindicatedFor,Kidney_Diseases
Cheese_mozzarella_low_moisture_partskim,recommendedFor,Peripheral_Nervous_System_Diseases
Almond_butter_creamy,contraindicatedFor,Immune_System_Diseases
Beet_greens_raw,contraindicatedFor,Renal_Insufficiency
Tomato_paste_canned_without_salt_added,contraindicatedFor,Hemosiderosis
Restaurant_Latino_pupusas_con_frijoles_pupusas_bean,predictedFor,Hypokalemic_Periodic_Paralysis
Egg_yolk_dried,predictedFor,Developmental_Disabilities
Beans_Dry_Brown_0_moisture,contraindicatedFor,Hypokalemic_Periodic_Paralysis
Oil_coconut,contraindicatedFor,Hyperlipidemias
Beans_Dry_Small_Red_0_moisture,recommendedFor,Fasciculation
Cheese_parmesan_grated_refrigerated,recommendedFor,Cell_Transformation__Neoplastic
Egg_whole_raw_frozen_pasteurized,recommendedFor,Colonic_Neoplasms
Peppers_bell_red_raw,highIn,Vitamin_B6
Beans_Dry_Black_0_moisture,recommendedFor,Inflammation
Butter_stick_salted,recommendedFor,Ventricular_Fibrillation
Vitamin_D,treats,Urinary_Bladder_Diseases
Beans_great_northern_canned_sodium_added_drained_and_rinsed,contraindicatedFor,Nephrotic_Syndrome
Flour_barley,contraindicatedFor,Non_alcoholic_Fatty_Liver_Disease
Bread_wholewheat_commercially_prepared,recommendedFor,Arrhythmias__Cardiac
Cheese_cotija_solid,recommendedFor,Tachycardia
Restaurant_Chinese_sweet_and_sour_pork,contraindicatedFor,Nephrotic_Syndrome
Beans_Dry_Pinto_0_moisture,recommendedFor,Disease_Progression
Plantains_ripe_raw,highIn,Carbohydrate
Cheese_American_restaurant,contraindicatedFor,Ischemic_Stroke
Oats_whole_grain_rolled_old_fashioned,recommendedFor,Long_QT_Syndrome
Cheese_parmesan_grated,recommendedFor,Periodontitis
Beans_kidney_light_red_canned_sodium_added_sugar_added_drained_and_rinsed,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Pain
Chicken_drumstick_meat_and_skin_raw,predictedFor,Diabetes_Mellitus__Type_2
Lamb_ground_raw,recommendedFor,Ventricular_Dysfunction__Left
Blackeye_pea_dry,contraindicatedFor,Cardiovascular_Diseases
Egg_yolk_dried,contraindicatedFor,Osteoporosis__Postmenopausal
Olives_green_Manzanilla_stuffed_with_pimiento,highIn,Sodium
Sorghum_bran_white_unenriched_dry_raw,contraindicatedFor,Hypokalemic_Periodic_Paralysis
Tomatoes_crushed_canned,contraindicatedFor,Myocardial_Infarction
Arugula_baby_raw,contraindicatedFor,Kidney_Diseases
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,contraindicatedFor,Myocardial_Infarction
Flour_whole_wheat_unenriched,recommendedFor,Prostatic_Neoplasms
Tomato_paste_canned_without_salt_added,contraindicatedFor,Malabsorption_Syndromes
Pork_loin_tenderloin_boneless_raw,contraindicatedFor,Renal_Insufficiency__Chronic
Mustard_prepared_yellow,contraindicatedFor,Pre_Eclampsia
Beef_flank_steak_boneless_choice_raw,recommendedFor,Chemical_and_Drug_Induced_Liver_Injury
Nuts_almonds_whole_raw,recommendedFor,Bone_Diseases
Beans_Dry_Light_Red_Kidney_0_moisture,recommendedFor,Tachycardia__Ventricular
Bison_ground_raw,recommendedFor,Cardiomyopathies
Beans_Dry_Pinto_0_moisture,recommendedFor,Seizures
Chia_seeds_dry_raw,recommendedFor,Disease_Models__Animal
Nuts_almonds_whole_raw,contraindicatedFor,Anemia
Chicken_broiler_or_fryers_breast_skinless_boneless_meat_only_cooked_braised,predictedFor,Leukemia
Cheese_parmesan_grated,recommendedFor,Rickets
Blackeye_pea_dry,recommendedFor,Heart_Defects__Congenital
Egg_whole_raw_frozen_pasteurized,predictedFor,Sinus_Arrest__Cardiac
Beans_Dry_Carioca_0_moisture,contraindicatedFor,Hypokalemic_Periodic_Paralysis
Nuts_hazelnuts_or_filberts_raw,predictedFor,Major_Depressive_Disorder
Tomatoes_crushed_canned,contraindicatedFor,Kidney_Failure__Chronic
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,contraindicatedFor,Kidney_Failure__Chronic
Milk_lowfat_fluid_1_milkfat_with_added_vitamin_A_and_vitamin_D,recommendedFor,Seizures
Paralysis,22-rdf-syntax-ns#type,Disease
Flour_soy_defatted,contraindicatedFor,Kidney_Diseases
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Chemical_and_Drug_Induced_Liver_Injury
Tomato_paste_canned_without_salt_added,recommendedFor,Hypokalemia
Flaxseed_ground,recommendedFor,Hyperalgesia
Sausage_breakfast_sausage_beef_precooked_unprepared,contraindicatedFor,Insulin_Resistance
Tomato_paste_canned_without_salt_added,highIn,Potassium
Flour_coconut,recommendedFor,Fasciculation
Nuts_brazilnuts_raw,contraindicatedFor,Non_alcoholic_Fatty_Liver_Disease
Pork_cured_bacon_cooked_restaurant,predictedFor,Colitis
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,recommendedFor,Multiple_Myeloma
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,highIn,Folate
Egg_yolk_raw_frozen_pasteurized,predictedFor,Magnesium_Deficiency
Flour_quinoa,recommendedFor,Insulin_Resistance
Cabbage_bok_choy_raw,highIn,Folate
Nuts_almonds_dry_roasted_with_salt_added,recommendedFor,Disease_Progression
Beans_Dry_Cranberry_0_moisture,recommendedFor,Pain
Flour_potato,predictedFor,Esophageal_Neoplasms
Flour_soy_defatted,recommendedFor,Tachycardia
Mandarin_seedless_peeled_raw,contraindicatedFor,Myocardial_Infarction
Nuts_cashew_nuts_raw,recommendedFor,Hypomagnesemia_primary
Egg_yolk_raw_frozen_pasteurized,recommendedFor,Respiratory_Tract_Diseases
Buckwheat_whole_grain,predictedFor,Hyperglycemia
Sausage_pork_chorizo_link_or_ground_cooked_panfried,predictedFor,Hemorrhage
Flour_almond,recommendedFor,Sinus_Arrest__Cardiac
Cherries_sweet_dark_red_raw,contraindicatedFor,Myocardial_Infarction
Turnips_raw,22-rdf-syntax-ns#type,Food
Beans_Dry_Pink_0_moisture,recommendedFor,Muscle_Cramp
Sorghum_whole_grain_white_dry_raw,predictedFor,Insulin_Resistance
Beans_pinto_canned_sodium_added_drained_and_rinsed,recommendedFor,Kidney_Diseases__Cystic
Egg_white_raw_frozen_pasteurized,contraindicatedFor,Hypertension__Pulmonary
Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,recommendedFor,Cardiotoxicity
Beef_short_loin_NY_strip_steak_raw,recommendedFor,Cholestasis__Extrahepatic
Blackeye_pea_dry,contraindicatedFor,Hepatolenticular_Degeneration
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,recommendedFor,Cardiotoxicity
Beef_loin_top_loin_steak_boneless_lipon_separable_lean_only_trimmed_to_18_fat_choice_raw,recommendedFor,Insulin_Resistance
Beans_Dry_Pink_0_moisture,recommendedFor,Hypocalcemia
Bread_wholewheat_commercially_prepared,contraindicatedFor,Malabsorption_Syndromes
Cookies_oatmeal_soft_with_raisins,contraindicatedFor,Obesity
Egg_whole_raw_frozen_pasteurized,contraindicatedFor,Atherosclerosis
Sausage_Italian_pork_mild_cooked_panfried,highIn,Protein
Parsnips_raw,recommendedFor,Tremor
Almond_butter_creamy,contraindicatedFor,Myocardial_Infarction
Beans_Dry_Dark_Red_Kidney_0_moisture,recommendedFor,Leukemia
Nuts_pistachio_nuts_raw,recommendedFor,Anemia
Cheese_cottage_lowfat_2_milkfat,recommendedFor,Weight_Gain
Beef_flank_steak_boneless_choice_raw,recommendedFor,Neural_Tube_Defects
Cheese_provolone_sliced,contraindicatedFor,Osteoporosis__Postmenopausal
Chicken_drumstick_meat_and_skin_raw,predictedFor,Polycystic_Ovary_Syndrome
Parsnips_raw,predictedFor,Magnesium_Deficiency
Zinc,22-rdf-syntax-ns#type,Nutrient
Bread_wholewheat_commercially_prepared,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Restaurant_Latino_tamale_pork,recommendedFor,Ventricular_Fibrillation
Beans_Dry_Tan_0_moisture,recommendedFor,Hyperglycemia
Flour_soy_defatted,recommendedFor,Anemia__Iron_Deficiency
Cheese_pasteurized_process_cheese_food_or_product_American_singles,recommendedFor,Sinus_Arrest__Cardiac
Juice_prune_shelfstable,contraindicatedFor,Diabetes_Mellitus__Type_2
Rice_black_unenriched_raw,recommendedFor,Infant_Death
Beef_ground_80_lean_meat__20_fat_raw,recommendedFor,Chemical_and_Drug_Induced_Liver_Injury
Flaxseed_ground,recommendedFor,Hypertension
Bulgur_dry_raw,contraindicatedFor,Kidney_Failure__Chronic
Cream_heavy,contraindicatedFor,Diabetes_Mellitus__Type_2
Cheese_oaxaca_solid,contraindicatedFor,Ischemic_Stroke
Millet_whole_grain,recommendedFor,Lung_Injury
Milk_reduced_fat_fluid_2_milkfat_with_added_vitamin_A_and_vitamin_D,contraindicatedFor,Nephrocalcinosis
Beans_Dry_Carioca_0_moisture,recommendedFor,Tachycardia
Flour_buckwheat,contraindicatedFor,Colorectal_Neoplasms
Sausage_pork_chorizo_link_or_ground_cooked_panfried,recommendedFor,Parasomnias
Beans_Dry_Light_Red_Kidney_0_moisture,recommendedFor,Hyperglycemia
Cheese_monterey_jack_solid,recommendedFor,Diabetes_Mellitus
Almond_butter_creamy,contraindicatedFor,Kidney_Failure__Chronic
Almond_milk_unsweetened_plain_shelf_stable,predictedFor,Hypertrophy
Pork_cured_bacon_cooked_restaurant,recommendedFor,Splenic_Diseases
Blackeye_pea_dry,recommendedFor,Muscle_Cramp
Cheese_pasteurized_process_American_vitamin_D_fortified,recommendedFor,Mental_Disorders
Juice_pomegranate_from_concentrate_shelfstable,contraindicatedFor,Myocardial_Infarction
Yogurt_Greek_plain_whole_milk,recommendedFor,Acute_Kidney_Injury
Lentils_dry,recommendedFor,Insulin_Resistance
Nuts_macadamia_nuts_raw,recommendedFor,Cerebrovascular_Disorders
Flour_corn_yellow_fine_meal_enriched,highIn,Folate
Beans_Dry_Pinto_0_moisture,recommendedFor,Pain
Bison_ground_raw,contraindicatedFor,Colonic_Neoplasms
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Arrhythmias__Cardiac
Snow_crab_legs_only_frozen__,recommendedFor,Leukemia
Egg_yolk_dried,contraindicatedFor,Heart_Failure
Beans_Dry_Carioca_0_moisture,recommendedFor,Anemia__Iron_Deficiency
Mango_Ataulfo_peeled_raw,contraindicatedFor,Liver_Diseases
Cheese_cotija_solid,recommendedFor,Disease_Models__Animal
Pork_cured_bacon_cooked_restaurant,predictedFor,Seizures
Cheese_American_restaurant,recommendedFor,Neurologic_Manifestations
Chicken_broiler_or_fryers_breast_skinless_boneless_meat_only_cooked_braised,contraindicatedFor,Myocardial_Infarction
Egg_yolk_dried,recommendedFor,Cholestasis__Extrahepatic
Cheese_dry_white_queso_seco,contraindicatedFor,Arteriosclerosis
Cheese_queso_fresco_solid,recommendedFor,COVID_19
Flour_soy_fullfat,contraindicatedFor,Hypokalemic_Periodic_Paralysis
Cheese_monterey_jack_solid,contraindicatedFor,Hyperlipidemias
Cheese_dry_white_queso_seco,recommendedFor,Hepatomegaly
Flour_chestnut,contraindicatedFor,Hypokalemic_Periodic_Paralysis
Cheese_dry_white_queso_seco,recommendedFor,Polyradiculopathy
Beans_Dry_Red_0_moisture,recommendedFor,Cholestasis
Flour_amaranth,contraindicatedFor,Hypokalemic_Periodic_Paralysis
Cheese_parmesan_grated_refrigerated,recommendedFor,Hyperplasia
Grapes_red_seedless_raw,contraindicatedFor,Myocardial_Infarction
Snow_crab_legs_only_frozen__,predictedFor,Muscle_Cramp
Beef_ground_80_lean_meat__20_fat_raw,recommendedFor,Neural_Tube_Defects
Plantains_overripe_raw,contraindicatedFor,Renal_Insufficiency__Chronic
Oil_olive_extra_light,22-rdf-syntax-ns#type,Food
Chicken_broiler_or_fryers_breast_skinless_boneless_meat_only_cooked_braised,contraindicatedFor,Kidney_Failure__Chronic
Ham_sliced_prepackaged_deli_meat_96fat_free_water_added,recommendedFor,Arthralgia
Beans_Dry_Light_Red_Kidney_0_moisture,recommendedFor,Tachycardia__Ectopic_Atrial
Tomato_sauce_canned_with_salt_added,contraindicatedFor,Coronary_Disease
Bananas_ripe_and_slightly_ripe_raw,contraindicatedFor,Diabetes_Mellitus__Type_2
Beans_Dry_Light_Red_Kidney_0_moisture,contraindicatedFor,Nephrotic_Syndrome
Fish_haddock_raw,contraindicatedFor,Osteoporosis
Chicken_broiler_or_fryers_breast_skinless_boneless_meat_only_cooked_braised,predictedFor,Prenatal_Injuries
Halibut_frozen_wild_caught,contraindicatedFor,Hepatic_Encephalopathy
